fold,test_start,mean_ic
72,2017-02-10,0.06013270961487097
73,2017-03-14,0.09253028834118182
74,2017-04-10,0.08392944243399492
75,2017-05-15,0.07959659897159065
76,2017-06-13,0.10753507739650726
77,2017-07-11,0.08606639750329705
78,2017-08-11,0.09162427671169808
79,2017-09-12,0.0922773387326064
80,2017-10-09,0.055761778523320815
81,2017-11-09,0.0316263446929986
82,2017-12-11,0.020103873466584182
83,2018-01-10,0.03468541406613268
84,2018-02-09,0.038764446936949165
85,2018-03-13,0.022259543941185452
86,2018-04-10,0.05144652940217979
87,2018-05-10,0.021040066405586182
88,2018-06-12,-0.023183853170121088
89,2018-07-10,-0.0014619360131917964
90,2018-08-10,-0.018942729277774167
91,2018-09-11,-0.01811762384773909
92,2018-10-08,-0.01938359184849442
93,2018-11-08,0.02295020200428538
94,2018-12-11,0.04116265098894371
95,2019-01-09,0.03245241667719302
96,2019-02-11,0.03234027615527441
97,2019-03-12,-0.014004398876043858
98,2019-04-10,-0.016884997178759197
99,2019-05-13,0.023836942502295608
100,2019-06-11,0.039722879887445495
101,2019-07-11,0.011554279290507572
102,2019-08-09,0.042213352822326446
103,2019-09-10,0.014052542266968573
104,2019-10-09,0.04609997836325278
105,2019-11-07,0.005359424694580557
106,2019-12-10,0.07356193558051084
107,2020-01-13,0.05524502971463893
108,2020-02-11,0.09583801407821803
109,2020-03-13,0.11351192622590484
110,2020-04-14,0.10143746096557273
111,2020-05-14,0.11121356036859927
112,2020-06-15,0.08920810663468058
113,2020-07-14,0.101357239030465
114,2020-08-13,0.08928641927699643
115,2020-09-14,0.08669177831367915
116,2020-10-12,0.09604939788823585
117,2020-11-09,0.10751458876997867
118,2020-12-11,0.06324867260440585
119,2021-01-13,0.05470776459308526
120,2021-02-12,0.016653924446276665
121,2021-03-16,-0.026513667909596084
122,2021-04-13,-0.042482510400337965
123,2021-05-13,-0.043027646882009905
124,2021-06-15,-0.07785002186683074
125,2021-07-13,-0.06218618326152165
126,2021-08-13,-0.03587923703122537
127,2021-09-14,-0.06011825430677034
128,2021-10-11,-0.067345509452455
129,2021-11-11,-0.09133306624098253
130,2021-12-13,-0.08874808461313947
131,2022-01-11,-0.05782907170240081
132,2022-02-14,0.004230729245111096
133,2022-03-15,-0.005151384951143157
134,2022-04-14,0.025783720282571407
135,2022-05-16,0.03345968590443429
136,2022-06-14,0.041675714367116236
137,2022-07-18,0.08048616181929322
138,2022-08-15,0.03616792866458241
139,2022-09-13,0.06482796049658889
140,2022-10-13,0.05704514314739656
141,2022-11-11,0.034903470551176076
142,2022-12-13,0.08863565808292866
143,2023-01-11,0.05344954490325285
144,2023-02-14,0.02475444777408829
145,2023-03-14,0.05300023509837679
146,2023-04-14,0.05619779874109183
147,2023-05-15,0.06479968411590292
148,2023-06-13,0.03514250862265582
149,2023-07-17,0.02055714778582352
150,2023-08-14,0.008185914688643173
151,2023-09-12,-0.008782224784858015
152,2023-10-12,0.03313051542862019
153,2023-11-10,0.02968084809879599
154,2023-12-12,0.021173426786842493
155,2024-01-12,0.03396188690383469
156,2024-02-13,0.025480506290911253
157,2024-03-14,-0.003850617840111465
158,2024-04-16,-0.04407954489102695
159,2024-05-13,0.01571642719399208
160,2024-06-14,0.012953722333225712
161,2024-07-17,0.03911772756012835
162,2024-08-12,0.05217656513639699
163,2024-09-13,0.0790462819707597
164,2024-10-14,0.05680299580004052
165,2024-11-11,0.05817327806389424
166,2024-12-10,0.05485117453766817
167,2025-01-15,0.06446617650854324
168,2025-02-11,0.05330796836567636
169,2025-03-17,0.08367668724538459
170,2025-04-14,0.0839333883769653
171,2025-05-16,0.06061466121416596
172,2025-06-16,0.07200383936239535
173,2025-07-16,0.04102447939624729
174,2025-08-14,0.040680245339661025
175,2025-09-15,0.017458968398015768
176,2025-10-13,0.012912501345715543
177,2025-11-10,-0.0006146113119915586
178,2025-12-12,-0.02214302246974738
179,2026-01-14,-0.07438960432057626
180,2026-02-17,-0.008106125344926397
